date,gross_return,net_return,cost,turnover,long_return,short_return,gross_exposure,net_exposure,long_names,short_names,benchmark_return
2010-10-08,0.005181737485,0.005181737485,0,0,0.003099793883,0.002081943602,1.011978342,-0.007856333323,7,7,0.005608799864
2010-10-11,-0.004956685216,-0.004956685216,0,0,-0.002496981163,-0.002459704053,1.007774171,-0.002660808228,7,7,0.0009438847786
2010-10-12,-0.001883329307,-0.001883329307,0,0,0.005235719773,-0.00711904908,1.012756811,-0.007655439045,7,7,0.00308594454
2010-10-13,0.001158425172,0.001158425172,0,0,0.003410170779,-0.002251745607,1.027045845,-0.009556766891,7,7,0.007776832765
2010-10-14,0.008371611103,0.008371611103,0,0,-0.0005047409746,0.008876352078,1.031512831,-0.008388624126,7,7,-0.003900932386
2010-10-15,0.0008669390998,0.0008669390998,0,0,0.005398136676,-0.004531197576,1.013645889,-1.687177839e-05,7,7,0.002043482107
2010-10-18,-0.007757559575,-0.007757559575,0,0,-0.00117778723,-0.006579772344,1.022688615,0.0008493310031,7,7,0.004927837456
2010-10-19,0.0003073654021,0.0003073654021,0,0,-0.008537431035,0.008844796437,1.036128428,-0.006962238552,7,7,-0.01310418339
2010-10-20,0.0050572094,0.0050572094,0,0,0.006554911689,-0.001497702289,1.018433169,-0.006652828301,7,7,0.009765919612
2010-10-21,0.01698387798,0.01698387798,0,0,0.01022978653,0.006754091447,1.02132075,-0.001587590125,7,7,0.002205764591
2010-10-22,-0.009481030532,-0.009481030532,0,0,-0.001979232066,-0.007501798466,1.007682096,0.01513916611,7,7,0.001862275563
2010-10-25,0.004651332262,0.004651332262,0,0,0.003965001795,0.0006863304676,1.022902835,0.005712294007,7,7,0.00295730851
2010-10-26,0.004010746821,0.004010746821,0,0,0.004281024547,-0.0002702777256,1.021430494,0.01031564478,7,7,0.0001683767564
2010-10-27,-0.004616851004,-0.004616851004,0,0,-0.00228172086,-0.002335130144,1.021883281,0.0142691616,7,7,-0.002863790685
2010-10-28,-0.001199157851,-0.001199157851,0,0,-0.001624944682,0.0004257868313,1.026676704,0.009697080577,7,7,0.0001689170493
2010-10-29,0.000810340839,0.000810340839,0,0,9.195344947e-06,0.0008011454941,1.025856135,0.008508125312,7,7,0.0007600834704
2010-11-01,-0.005164306774,-0.005930164416,0.0007658576429,0.7658576429,-0.004244394286,-0.000919912488,1.024234207,0.009310921131,7,7,0.0003375204985
2010-11-02,0.002768781667,0.002768781667,0,0,0.006881504985,-0.004112723319,1,0,7,7,0.007930416008
2010-11-03,-0.00148818092,-0.00148818092,0,0,0.001761510809,-0.003249691729,1.008202735,0.002761136682,7,7,0.00401786637
2010-11-04,-0.01185261409,-0.01185261409,0,0,0.0009961750168,-0.0128487891,1.014724031,0.001274852974,7,7,0.01925800473
2010-11-05,-0.002299477349,-0.002299477349,0,0,0.001505541227,-0.003805018576,1.040906457,-0.01070463907,7,7,0.003762621004
2010-11-08,0.0009844059625,0.0009844059625,0,0,0.002370004642,-0.001385598679,1.048628314,-0.01303408801,7,7,-0.001873929863
2010-11-09,0.0008547149241,0.0008547149241,0,0,-0.002457895588,0.003312610513,1.051348963,-0.01203783193,7,7,-0.007184281274
2010-11-10,0.002085750606,0.002085750606,0,0,0.007702293819,-0.005616543212,1.044685549,-0.01117356679,7,7,0.004029127738
2010-11-11,0.0159981899,0.0159981899,0,0,-0.002106419688,0.01810460959,1.055802246,-0.009068900723,7,7,-0.003767385568
2010-11-12,-0.009539929408,-0.009539929408,0,0,-0.00767603541,-0.001863893998,1.019284509,0.006820178661,7,7,-0.01183815011
2010-11-15,-0.005493137776,-0.005493137776,0,0,-0.007551063488,0.002057925712,1.023233947,-0.002745946886,7,7,-0.001414557736
2010-11-16,0.0008369927836,0.0008369927836,0,0,-0.007533613337,0.008370606121,1.019223694,-0.008284593073,7,7,-0.01557957394
2010-11-17,0.004078417192,0.004078417192,0,0,0.002058426983,0.002019990209,1.002480406,-0.007441371914,7,7,0.0005080359412
2010-11-18,0.006615197177,0.006615197177,0,0,0.01191925814,-0.005304060965,0.9984467604,-0.003349294901,7,7,0.01471865554
2010-11-19,0.01720389731,0.01720389731,0,0,0.01795242889,-0.0007485315795,1.008995376,0.003244439668,7,7,0.002750336724
2010-11-22,0.01436263757,0.01436263757,0,0,0.01117520011,0.00318743746,1.010314981,0.02010249571,7,7,-0.0008310072448
2010-11-23,0.008483369929,0.008483369929,0,0,-0.002898735995,0.01138210592,1.003884317,0.03397713204,7,7,-0.01447706985
2010-11-24,0.002763262364,0.002763262364,0,0,0.01008628169,-0.007323019328,0.9812789234,0.0421033239,7,7,0.01477422784
2010-11-26,0.00248173124,0.00248173124,0,0,-0.000399010517,0.002880741757,0.9959361915,0.04474294976,7,7,-0.01164733591
2010-11-29,0.001815283841,0.001815283841,0,0,0.003140252429,-0.001324968587,0.9901990313,0.04710777217,7,7,0.003030351106
2010-11-30,0.004878967299,0.004878967299,0,0,-0.001099137279,0.005978104578,0.9928619261,0.0488344077,7,7,-0.005622947927
2010-12-01,-0.003366145921,-0.003860490234,0.0004943443131,0.4943443131,0.008368955028,-0.01173510095,0.980998425,0.0534525816,7,7,0.02126761914
2010-12-02,-0.01237613623,-0.01237613623,0,0,0.0008719318033,-0.01324806803,1,0,7,7,0.01280905307
2010-12-03,-0.004883762769,-0.004883762769,0,0,-0.000899069682,-0.003984693087,1.026828165,-0.01253122437,7,7,0.002692567241
2010-12-06,0.005948889662,0.005948889662,0,0,0.004413518431,0.00153537123,1.034968328,-0.01750045521,7,7,-0.001057666094
2010-12-07,-0.0005200237571,-0.0005200237571,0,0,6.960511101e-05,-0.0005896288681,1.031708953,-0.01148325294,7,7,0.0005700334023
2010-12-08,-0.005409418276,-0.005409418276,0,0,0.002350170256,-0.007759588532,1.032905322,-0.01200952194,7,7,0.003663678739
2010-12-09,-0.004702704446,-0.004702704446,0,0,-0.0007470390443,-0.003955665402,1.048687872,-0.01751367903,7,7,0.003893446309
2010-12-10,2.108516891e-05,2.108516891e-05,0,0,0.003837558726,-0.003816473557,1.05686663,-0.0223213542,7,7,0.005817641422
2010-12-13,0.002656088744,0.002656088744,0,0,-0.003477941655,0.006134030399,1.064498217,-0.02229979884,7,7,0.000642800749
2010-12-14,-0.00596579308,-0.00596579308,0,0,-0.006015359962,4.95668825e-05,1.052091796,-0.01959167287,7,7,0.000882868563
2010-12-15,0.002596256285,0.002596256285,0,0,-0.001447909457,0.004044165742,1.052304701,-0.02571085157,7,7,-0.004572056291
2010-12-16,-0.002413720115,-0.002413720115,0,0,0.003070196533,-0.005483916648,1.04410187,-0.02305473928,7,7,0.005801784871
2010-12-17,0.0003964333357,0.0003964333357,0,0,0.0001196825949,0.0002767507408,1.055202948,-0.02553008187,7,7,0.001071027259
2010-12-20,0.0006371304547,0.0006371304547,0,0,0.002440179346,-0.001803048891,1.05462779,-0.02512368866,7,7,0.002413685964
2010-12-21,-0.003126595421,-0.003126595421,0,0,0.008730407977,-0.0118570034,1.058196809,-0.02447096701,7,7,0.006340263093
2010-12-22,-0.006729206964,-0.006729206964,0,0,-0.001109986414,-0.00561922055,1.082167721,-0.02768411947,7,7,0.003110258993
2010-12-23,-0.0002620156885,-0.0002620156885,0,0,-0.001963747461,0.001701731772,1.09403897,-0.0346464697,7,7,-0.001431059336
2010-12-27,-0.007997005228,-0.007997005228,0,0,-0.003305802815,-0.004691202413,1.09065926,-0.03491763436,7,7,0.0003982502533
2010-12-28,-0.0002624176388,-0.0002624176388,0,0,-0.0001034161099,-0.0001590015289,1.100848148,-0.04326059479,7,7,0.00143269928
2010-12-29,0.001571867385,0.001571867385,0,0,4.479765544e-05,0.001527069729,1.101192706,-0.04353443663,7,7,0.0007148865564
2010-12-30,0.0002152425043,0.0002152425043,0,0,-0.001514310042,0.001729552546,1.097984548,-0.04189671317,7,7,-0.001588076962
2010-12-31,-0.00737261892,-0.00737261892,0,0,-0.0032667339,-0.00410588502,1.094505101,-0.04167250097,7,7,0.0002382913838
2011-01-03,-0.003385637487,-0.004382245677,0.0009966081899,0.9966081899,0.009902970905,-0.01328860839,1.103479788,-0.04940939654,7,7,0.01033864875
2011-01-04,-0.003788094403,-0.003788094403,0,0,-0.0003717742643,-0.003416320139,1,0,7,7,-0.0005514551535
2011-01-05,0.007011118759,0.007011118759,0,0,0.01140494323,-0.004393824466,1.006858621,-0.003802498627,7,7,0.005197813807
2011-01-06,0.01129602847,0.01129602847,0,0,0.01192770024,-0.0006316717707,1.015537336,0.00318628074,7,7,-0.001958797465
2011-01-07,0.005459636805,0.005459636805,0,0,0.003217855801,0.002241781005,1.016613019,0.01432054393,7,7,-0.001962405771
2011-01-10,0.004128271241,0.004128271241,0,0,0.006421709909,-0.002293438668,1.012063594,0.01967277453,7,7,-0.001258506988
2011-01-11,-0.007210548608,-0.007210548608,0,0,-0.006155931173,-0.001054617435,1.016582016,0.02370319257,7,7,0.003543877823
2011-01-12,0.007149921753,0.007149921753,0,0,0.01514171968,-0.007991797923,1.018827004,0.01661242868,7,7,0.009024673278
2011-01-13,0.007336778254,0.007336778254,0,0,0.001241536568,0.006095241686,1.034563474,0.02359365763,7,7,-0.001633354842
2011-01-14,-0.001466051755,-0.001466051755,0,0,0.002640816962,-0.004106868717,1.02221004,0.03070515894,7,7,0.007245006044
2011-01-18,0.0007520647365,0.0007520647365,0,0,-0.0003519040624,0.001103968799,1.030468446,0.02928203617,7,7,0.001701025252
2011-01-19,-0.005939589633,-0.005939589633,0,0,-0.01250516785,0.006565578219,1.028239271,0.03001153029,7,7,-0.009804713121
2011-01-20,-0.01590601191,-0.01590601191,0,0,-0.01349921663,-0.002406795277,1.015198386,0.02421577241,7,7,-0.001326024693
2011-01-21,-0.002109419973,-0.002109419973,0,0,-0.003257635483,0.001148215509,1.020335432,0.00844407201,7,7,0.002264092455
2011-01-24,0.01457112129,0.01457112129,0,0,0.01589058464,-0.001319463346,1.018077134,0.006348042725,7,7,0.005687004055
2011-01-25,-0.002320720053,-0.002320720053,0,0,-0.003926595666,0.001605875613,1.020418539,0.02061872606,7,7,0.0005423879609
2011-01-26,0.006650187324,0.006650187324,0,0,0.004493697253,0.002156490071,1.017246813,0.01834056933,7,7,0.00387049171
2011-01-27,0.01539702663,0.01539702663,0,0,0.01525301347,0.0001440131581,1.012848389,0.02482566136,7,7,0.002467981537
2011-01-28,-0.0006783348554,-0.0006783348554,0,0,-0.007408570927,0.006730236072,1.012369903,0.03961276912,7,7,-0.01746326308
2011-01-31,-0.002050540541,-0.002050540541,0,0,-0.0005264122105,-0.001524128331,0.9989086904,0.03896086278,7,7,0.007516752434
2011-02-01,-0.003689418791,-0.004451447641,0.0007620288504,0.7620288504,0.005540786242,-0.009230205033,1.001960968,0.03698616387,7,7,0.01600857065
2011-02-02,0.004740356429,0.004740356429,0,0,0.005054570904,-0.0003142144751,1,0,7,7,-0.001912122137
2011-02-03,-0.001925345811,-0.001925345811,0,0,-0.0006799043412,-0.00124544147,1.000625464,0.004717991468,7,7,0.00222243087
